Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART-C observed Type I error rate,T-test observed Type I error rate,Mann Whitney U test/ Wilcoxon signed-rank test observed Type I error rate,ART observed Type I error rate
Normal,2x2,Between,8,1-Factor Contrasts,0.038,0.035,0.028,0.038
Normal,2x2,Between,8,2-Factor Contrasts,0.039,0.038,0.04,0.013
Normal,2x2,Between,16,1-Factor Contrasts,0.057,0.05,0.052,0.057
Normal,2x2,Between,16,2-Factor Contrasts,0.046,0.044,0.043,0
Normal,2x2,Between,32,1-Factor Contrasts,0.038,0.033,0.041,0.038
Normal,2x2,Between,32,2-Factor Contrasts,0.04,0.035,0.041,0.007
Normal,2x2,Between,24,1-Factor Contrasts,0.02,0.031,0.02,0.02
Normal,2x2,Between,24,2-Factor Contrasts,0.046,0.038,0.041,0.004
Normal,2x2,Between,40,1-Factor Contrasts,0.055,0.052,0.047,0.055
Normal,2x2,Between,40,2-Factor Contrasts,0.047,0.05,0.046,0.004
Normal,2x2,Within,24,1-Factor Contrasts,0.048,0.048,0.055,0.048
Normal,2x2,Within,24,2-Factor Contrasts,0.046,0.044,0.047,0.008
Normal,2x2,Within,16,1-Factor Contrasts,0.03,0.028,0.033,0.03
Normal,2x2,Within,16,2-Factor Contrasts,0.043,0.04,0.033,0.002
Normal,2x2,Within,40,1-Factor Contrasts,0.047,0.04,0.032,0.047
Normal,2x2,Within,40,2-Factor Contrasts,0.032,0.032,0.035,0.003
Normal,2x2,Within,32,1-Factor Contrasts,0.052,0.054,0.057,0.052
Normal,2x2,Within,32,2-Factor Contrasts,0.054,0.049,0.047,0
Normal,2x2,Within,8,1-Factor Contrasts,0.068,0.078,0.043,0.068
Normal,2x2,Within,8,2-Factor Contrasts,0.059,0.061,0.039,0.012
Normal,2x2x2,Between,40,1-Factor Contrasts,0.041,0.044,0.039,0.041
Normal,2x2x2,Between,40,2-Factor Contrasts,0.053,0.052,0.051,0.006
Normal,2x2x2,Between,40,3-Factor Contrasts,0.051,0.045,0.05,0
Normal,2x2x2,Between,16,1-Factor Contrasts,0.064,0.056,0.061,0.064
Normal,2x2x2,Between,16,2-Factor Contrasts,0.055,0.056,0.054,0.006
Normal,2x2x2,Between,16,3-Factor Contrasts,0.052,0.051,0.048,0
Normal,2x2x2,Between,32,1-Factor Contrasts,0.044,0.049,0.044,0.044
Normal,2x2x2,Between,32,2-Factor Contrasts,0.047,0.044,0.046,0.002
Normal,2x2x2,Between,32,3-Factor Contrasts,0.042,0.043,0.042,0
Normal,2x2x2,Between,24,1-Factor Contrasts,0.053,0.053,0.056,0.053
Normal,2x2x2,Between,24,2-Factor Contrasts,0.054,0.052,0.052,0.005
Normal,2x2x2,Between,24,3-Factor Contrasts,0.056,0.056,0.056,0
Normal,2x2x2,Between,8,1-Factor Contrasts,0.043,0.04,0.043,0.043
Normal,2x2x2,Between,8,2-Factor Contrasts,0.052,0.052,0.046,0.005
Normal,2x2x2,Between,8,3-Factor Contrasts,0.054,0.052,0.051,0.001
Normal,2x2x2,Within,32,1-Factor Contrasts,0.069,0.071,0.06,0.069
Normal,2x2x2,Within,32,2-Factor Contrasts,0.05,0.056,0.051,0.003
Normal,2x2x2,Within,32,3-Factor Contrasts,0.052,0.053,0.054,0
Normal,2x2x2,Within,16,1-Factor Contrasts,0.052,0.06,0.047,0.052
Normal,2x2x2,Within,16,2-Factor Contrasts,0.054,0.052,0.049,0.008
Normal,2x2x2,Within,16,3-Factor Contrasts,0.051,0.051,0.045,0
Normal,2x2x2,Within,8,1-Factor Contrasts,0.064,0.059,0.051,0.064
Normal,2x2x2,Within,8,2-Factor Contrasts,0.053,0.051,0.042,0.004
Normal,2x2x2,Within,8,3-Factor Contrasts,0.048,0.049,0.036,0
Normal,2x2x2,Within,40,1-Factor Contrasts,0.056,0.056,0.049,0.056
Normal,2x2x2,Within,40,2-Factor Contrasts,0.045,0.044,0.043,0.005
Normal,2x2x2,Within,40,3-Factor Contrasts,0.046,0.043,0.045,0
Normal,2x2x2,Within,24,1-Factor Contrasts,0.049,0.053,0.05,0.049
Normal,2x2x2,Within,24,2-Factor Contrasts,0.049,0.05,0.046,0.008
Normal,2x2x2,Within,24,3-Factor Contrasts,0.046,0.048,0.043,0
Normal,3x3,Between,24,1-Factor Contrasts,0.049,0.051,0.04,0.049
Normal,3x3,Between,24,2-Factor Contrasts,0.048,0.046,0.048,0.01
Normal,3x3,Between,16,1-Factor Contrasts,0.048,0.048,0.046,0.048
Normal,3x3,Between,16,2-Factor Contrasts,0.045,0.045,0.041,0.008
Normal,3x3,Between,8,1-Factor Contrasts,0.045,0.046,0.042,0.045
Normal,3x3,Between,8,2-Factor Contrasts,0.057,0.057,0.056,0.013
Normal,3x3,Between,40,1-Factor Contrasts,0.058,0.058,0.055,0.058
Normal,3x3,Between,40,2-Factor Contrasts,0.056,0.057,0.057,0.011
