Population Distribution,Layout,Between or Within,Condition Sample Size,Contrast Size,ART observed power,ART-C observed power,T-test observed power,Mann Whitney U test/ Wilcoxon signed-rank test observed power
Normal,2x2,Between,8,1-Factor Contrasts,0.490,0.490,0.505,0.352
Normal,2x2,Between,8,2-Factor Contrasts,0.248,0.509,0.513,0.487
Normal,2x2,Between,24,1-Factor Contrasts,0.706,0.706,0.715,0.635
Normal,2x2,Between,24,2-Factor Contrasts,0.389,0.691,0.694,0.678
Normal,2x2,Between,40,1-Factor Contrasts,0.740,0.740,0.749,0.681
Normal,2x2,Between,40,2-Factor Contrasts,0.436,0.753,0.748,0.745
Normal,2x2,Between,32,1-Factor Contrasts,0.688,0.688,0.685,0.643
Normal,2x2,Between,32,2-Factor Contrasts,0.448,0.745,0.737,0.730
Normal,2x2,Between,16,1-Factor Contrasts,0.608,0.608,0.627,0.534
Normal,2x2,Between,16,2-Factor Contrasts,0.306,0.625,0.620,0.599
Normal,2x2,Within,40,1-Factor Contrasts,0.754,0.754,0.761,0.704
Normal,2x2,Within,40,2-Factor Contrasts,0.412,0.748,0.752,0.736
Normal,2x2,Within,24,1-Factor Contrasts,0.644,0.644,0.636,0.569
Normal,2x2,Within,24,2-Factor Contrasts,0.367,0.676,0.682,0.664
Normal,2x2,Within,8,1-Factor Contrasts,0.505,0.505,0.525,0.405
Normal,2x2,Within,8,2-Factor Contrasts,0.196,0.490,0.490,0.405
Normal,2x2,Within,16,1-Factor Contrasts,0.608,0.608,0.618,0.512
Normal,2x2,Within,16,2-Factor Contrasts,0.316,0.639,0.637,0.603
Normal,2x2,Within,32,1-Factor Contrasts,0.710,0.710,0.722,0.679
Normal,2x2,Within,32,2-Factor Contrasts,0.381,0.706,0.704,0.685
Normal,2x2x2,Between,24,1-Factor Contrasts,0.668,0.668,0.677,0.570
Normal,2x2x2,Between,24,2-Factor Contrasts,0.382,0.692,0.697,0.602
Normal,2x2x2,Between,24,3-Factor Contrasts,0.246,0.712,0.706,0.694
Normal,2x2x2,Between,40,1-Factor Contrasts,0.743,0.743,0.742,0.661
Normal,2x2x2,Between,40,2-Factor Contrasts,0.451,0.759,0.757,0.684
Normal,2x2x2,Between,40,3-Factor Contrasts,0.319,0.767,0.763,0.753
Normal,2x2x2,Between,32,1-Factor Contrasts,0.703,0.703,0.722,0.625
Normal,2x2x2,Between,32,2-Factor Contrasts,0.430,0.733,0.741,0.668
Normal,2x2x2,Between,32,3-Factor Contrasts,0.288,0.739,0.733,0.720
Normal,2x2x2,Between,8,1-Factor Contrasts,0.514,0.514,0.514,0.389
Normal,2x2x2,Between,8,2-Factor Contrasts,0.229,0.513,0.506,0.389
Normal,2x2x2,Between,8,3-Factor Contrasts,0.105,0.516,0.515,0.479
Normal,2x2x2,Between,16,1-Factor Contrasts,0.613,0.613,0.607,0.496
Normal,2x2x2,Between,16,2-Factor Contrasts,0.349,0.619,0.619,0.524
Normal,2x2x2,Between,16,3-Factor Contrasts,0.182,0.630,0.619,0.599
Normal,2x2x2,Within,40,1-Factor Contrasts,0.740,0.740,0.752,0.657
Normal,2x2x2,Within,40,2-Factor Contrasts,0.432,0.739,0.744,0.684
Normal,2x2x2,Within,40,3-Factor Contrasts,0.309,0.746,0.747,0.737
Normal,2x2x2,Within,8,1-Factor Contrasts,0.480,0.480,0.479,0.363
Normal,2x2x2,Within,8,2-Factor Contrasts,0.221,0.491,0.493,0.378
Normal,2x2x2,Within,8,3-Factor Contrasts,0.091,0.497,0.493,0.402
Normal,2x2x2,Within,32,1-Factor Contrasts,0.710,0.710,0.717,0.623
