"Data_Set","Num_Responses_per_Condition","BW","Trial","C1","Cstr1","C2","Cstr2","DF_ART_Omni_Random","DF_Param_Random","DF_ART_Con_Random","T_ART_Omni_Random","T_Param_Random","T_ART_Con_Random","P_ART_Omni_Random","P_Param_Random","P_ART_Con_Random","P_Nonparam"
1,24,"within","1","5","a","6","b",68.9999999999999,68.9999999999999,68.9999999999999,-0.202965996977126,-1.31038193637815,-0.202965996977126,0.839758941834301,0.194411955747587,0.839758941834301,0.882860494004334
1,24,"within","2","7","c","8","d",68.9999999999999,68.9999999999999,68.9999999999999,-0.925216781940975,-0.904704120871081,-0.925216781940975,0.35807778441939,0.368770238027123,0.35807778441939,0.335562320894369
1,24,"within","3","1","a c","2","b c",68.9999999999999,68.9999999999999,68.9999999999999,2.59903527687351,-0.528188925184255,0.620508645379286,0.0114231055933056,0.599062915266089,0.536967156473046,0.9218088388443
1,24,"within","4","1","a c","3","a d",68.9999999999999,68.9999999999999,68.9999999999999,1.3272983005411,-0.241331390862262,-0.131261444214849,0.188785164919034,0.810014009290707,0.895950465815082,0.966447234153748
1,24,"within","5","1","a c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,2.98796454633439,-1.5663023719927,-0.51311291829441,0.00388718245873513,0.12185286854026,0.609511323246707,0.316512346267701
1,24,"within","6","2","b c","3","a d",68.9999999999999,68.9999999999999,68.9999999999999,-1.2717369763324,0.286857534321993,0.751770089594135,0.207736396559994,0.775081052914008,0.454746043981271,0.789837837219239
1,24,"within","7","2","b c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,0.388929269460881,-1.03811344680845,-1.1336215636737,0.698526111502446,0.3028415232854,0.260876745733218,0.264342904090882
1,24,"within","8","3","a d","4","b d",68.9999999999996,68.9999999999999,68.9999999999999,1.66066624579329,-1.32497098113044,-0.381851474079561,0.101318462981106,0.189551926983544,0.703745019052941,0.663443565368653
2,24,"within","9","5","a","6","b",68.9999999999996,68.9999999999999,68.9999999999996,-0.263473012447376,-0.288766140983824,-0.263473012447376,0.792971253160994,0.773626110908768,0.792971253160994,0.607568717109132
2,24,"within","10","7","c","8","d",68.9999999999999,68.9999999999999,68.9999999999999,0.317480250660927,0.944840525045523,0.317480250660927,0.751837964334176,0.348037196972106,0.751837964334176,0.643629759437637
2,24,"within","11","1","a c","2","b c",68.9999999999996,68.9999999999999,68.9999999999999,0.0858339164736958,-0.754159734733961,-0.863035906027327,0.931847028097781,0.453319408319063,0.39110764007644,0.966447234153748
2,24,"within","12","1","a c","3","a d",68.9999999999996,68.9999999999999,68.9999999999999,-3.44656187686686,0.118131904132319,-0.608471358206317,0.000970912946416851,0.906306368460025,0.544872808557557,0.966447234153748
2,24,"within","13","1","a c","4","b d",68.9999999999996,68.9999999999999,68.9999999999999,-2.02700095057112,0.463914645932815,0.0310444570513426,0.0465280049461372,0.644169168665218,0.975323708649141,0.855335712432862
2,24,"within","14","2","b c","3","a d",68.9999999999999,68.9999999999999,68.9999999999999,-3.53239579334056,0.87229163886628,-0.25456454782101,0.000739272074329336,0.38607461818591,0.799816601728835,0.789837837219239
2,24,"within","15","2","b c","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,-2.11283486704482,1.21807438066678,0.89408036307867,0.0382349381422138,0.227344522249526,0.374386965759114,0.422341465950013
2,24,"within","16","3","a d","4","b d",68.9999999999999,68.9999999999999,68.9999999999999,1.41956092629574,0.345782741800496,0.63951581525766,0.160237729941462,0.730558059011716,0.524605049729632,0.508766055107117
