"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","M5","SD5","Num6","Str6","M6","SD6","Num7","Str7","M7","SD7","Num8","Str8","M8","SD8","offsetSd","offsetProp"
1,0,0,40,1,"W",1,"a c",0.500627552608748,1,2.65477541203838,2.39294353064767,2,"b c",0.138255700868532,1,1.9043214558322,1.85026009909021,3,"a d",0.072842756329821,1,2.92373490931882,3.43237104537468,4,"b d",0.502833699279604,1,2.85084887615,3.34848556951104,5,"a",2.7892551606786,2.94298871563782,6,"b",2.3775851659911,2.7298518224847,7,"c",2.27954843393529,2.15858494623451,8,"d",2.88729189273441,3.3693589236768,0.5,0.5
2,0,0,24,1,"W",1,"a c",0.510318946381946,1,2.63223649993058,2.49323458664003,2,"b c",-0.269543246089815,1,1.6016854070021,3.20309239948679,3,"a d",-1.8413513666136,1,0.249680790921026,0.273232524367662,4,"b d",0.767388883642636,1,5.80610891857172,7.31078003379985,5,"a",1.4409586454258,2.12787467113833,6,"b",3.70389716278691,5.97404698014773,7,"c",2.11696095346634,2.88684793873945,8,"d",3.02789485474637,5.8373274613847,0.9,0.9
3,0,0,8,1,"W",1,"a c",0.453633033075296,1,1.23690278224245,0.911124308084224,2,"b c",-0.906050771949461,1,0.643715053333326,0.740133804386125,3,"a d",1.75711307184554,1,11.6209472567693,11.5491395234021,4,"b d",1.38308805499513,1,10.5538239002252,7.93024409137338,5,"a",6.42892501950589,9.5596475431763,6,"b",5.59876947677927,7.46948019257513,7,"c",0.940308917787888,0.858413482309184,8,"d",11.0873855784973,9.58629151302606,0.1,0.1
4,0,0,40,1,"W",1,"a c",0.150270717960764,1,1.73031329449449,1.70100531168189,2,"b c",0.599173078447354,1,2.89357807473706,3.59573985703687,3,"a d",0.0481139074940198,1,2.18342400230309,3.02661784300832,4,"b d",-0.195756544704834,1,1.45199106759874,2.47712785367212,5,"a",1.95686864839879,2.45002127903982,6,"b",2.1727845711679,3.1524919927361,7,"c",2.31194568461577,2.85548883483461,8,"d",1.81770753495092,2.77252894571308,0.5,0.5
5,0,0,16,1,"W",1,"a c",-1.09129930658039,1,0.621108547676343,0.710883685451167,2,"b c",0.317805263611313,1,2.30218876422722,1.62454099122794,3,"a d",0.646256652677004,1,11.6094252185166,20.1002044326831,4,"b d",2.21821298545292,1,24.9233413484066,29.1113314500071,5,"a",6.11526688309648,15.0630914380661,6,"b",13.6127650563169,23.3109164772293,7,"c",1.46164865595178,1.50027504201125,8,"d",18.2663832834616,25.5206434196416,0.9,0.9
6,0,0,40,1,"W",1,"a c",0.763963797863731,1,2.77751787410917,3.27689510332435,2,"b c",0.134822511208613,1,1.30902451809979,0.848110618814713,3,"a d",0.572549821137316,1,3.27354863531541,3.58017658540001,4,"b d",1.29687139373799,1,5.15402933863894,6.44740473746182,5,"a",3.02553325471229,3.41921869166657,6,"b",3.23152692836937,4.9617852299,7,"c",2.04327119610448,2.49040042327199,8,"d",4.21378898697717,5.26729237788009,0.1,0.1
7,0,0,16,1,"W",1,"a c",-0.903551437714388,1,1.04564824649421,1.32529378461205,2,"b c",1.41025247640965,1,3.57687186874762,2.97138632949937,3,"a d",1.34497553723659,1,5.6293316616737,5.07194289243183,4,"b d",0.0723986280011569,1,2.9073656764162,5.1607922786923,5,"a",3.33748995408396,4.32657338153136,6,"b",3.24211877258191,4.15633839038389,7,"c",2.31126005762092,2.60297503009869,8,"d",4.26834866904495,5.21983968150082,0.5,0.5
8,0,0,40,1,"W",1,"a c",-0.550861965449215,1,1.42349477982371,1.90666575728554,2,"b c",0.466449786684374,1,3.71255063081885,5.24417628082329,3,"a d",1.19716046541059,1,8.12387667136883,12.1927482698411,4,"b d",-1.25480773060041,1,0.732450304307722,1.16181632826689,5,"a",4.77368572559627,9.30328868791065,6,"b",2.22250046756328,4.06095461570671,7,"c",2.56802270532128,4.08629872074736,8,"d",4.42816348783828,9.37487069908131,0.9,0.9
9,0,0,32,1,"W",1,"a c",2.16841184405525,1,11.5006363075832,11.5761241658042,2,"b c",-1.91013649971669,1,0.331745838109813,0.428671934564902,3,"a d",-0.105435900290118,1,1.36768456121373,1.27338964062758,4,"b d",-0.614875559273808,1,1.05107110751224,1.09951654781507,5,"a",6.43416043439848,9.63401769340112,6,"b",0.691408472811024,0.903717593106653,7,"c",5.91619107284652,9.8848999395367,8,"d",1.20937783436298,1.19089200631304,0.1,0.1
10,0,0,16,1,"W",1,"a c",-0.117696169371909,1,2.48641091956561,3.15312223984152,2,"b c",0.0979360323109542,1,2.11376771380677,3.33392406135083,3,"a d",-0.107089535055019,1,1.86736094703321,1.69461761251943,4,"b d",0.264146311975873,1,2.07735141890118,2.19243642353125,5,"a",2.17688593329941,2.50981565721085,6,"b",2.09555956635397,2.7756894868139,7,"c",2.30008931668619,3.19762687338869,8,"d",1.97235618296719,1.93048851284078,0.5,0.5
