"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","Ms5","SDs5","M5","SD5","Num6","Str6","Ms6","SDs6","M6","SD6","Num7","Str7","Ms7","SDs7","M7","SD7","Num8","Str8","Ms8","SDs8","M8","SD8","Num9","Str9","M9","SD9","Num10","Str10","M10","SD10","Num11","Str11","M11","SD11","Num12","Str12","M12","SD12","Num13","Str13","M13","SD13","Num14","Str14","M14","SD14","Num15","Str15","M15","SD15","Num16","Str16","M16","SD16","Num17","Str17","M17","SD17","Num18","Str18","M18","SD18","Num19","Str19","M19","SD19","Num20","Str20","M20","SD20","Num21","Str21","M21","SD21","Num22","Str22","M22","SD22","Num23","Str23","M23","SD23","Num24","Str24","M24","SD24","Num25","Str25","M25","SD25","Num26","Str26","M26","SD26","offsetSd","offsetProp"
1,0,0,40,1,"W",1,"a c e",-0.320438119665257,1,1.03120749717266,1.03797438976855,2,"b c e",2.14466531953371,1,14.9081915720233,18.829216517824,3,"a d e",-0.660789453783912,1,0.735047626888355,0.842929675110643,4,"b d e",0.115924998907701,1,2.0596547474541,1.40816139107989,5,"a c f",-1.17976978673537,1,0.809714595406517,1.49081743282407,6,"b c f",1.83886688294671,1,11.3510526075946,11.8610647691279,7,"a d f",1.5167137135187,1,10.7721274859281,11.2345231911258,8,"b d f",0.129359294866,1,2.66504623396681,4.29749916802017,9,"a,c",0.920461046289586,1.28120963774365,10,"b,c",13.1296220898089,15.737888887993,11,"a,d",5.75358755640825,9.38955524683149,12,"b,d",2.36235049071045,3.19202975687818,13,"a,e",0.883127562030505,0.951235991059307,14,"b,e",8.4839231597387,14.7579921212438,15,"a,f",5.79092104066733,9.40915140450093,16,"b,f",7.00804942078068,9.88280378409615,17,"c,e",7.96969953459798,14.9769732011295,18,"d,e",1.39735118717123,1.33186929242831,19,"c,f",6.08038360150054,9.93382185218626,20,"d,f",6.71858685994747,9.38429386439345,21,"a",3.33702430134892,7.10610460308828,22,"b",7.74598629025969,12.5415313471458,23,"c",7.02504156804926,12.703447131248,24,"d",4.05796902355935,7.19446454224782,25,"e",4.68352536088461,11.0994461520488,26,"f",6.399485230724,9.63784775355126,0.5,0.5
2,0,0,8,1,"W",1,"a c e",0.523372547854462,1,2.86658113039377,3.34879551481214,2,"b c e",-0.529500276322775,1,0.792204795110518,0.58536366461947,3,"a d e",-1.44145270363373,1,0.468737759189934,0.571683358465054,4,"b d e",1.00267696434831,1,3.41788819612878,3.71658543617416,5,"a c f",0.487319715495434,1,1.3647837371355,0.976234506723773,6,"b c f",-1.09211031398639,1,0.656831592970269,0.555188164636224,7,"a d f",0.884943134431482,1,1.88354968706497,1.3883886060201,8,"b d f",0.304405576771905,1,2.11039868585574,2.34255502539331,9,"a,c",2.11568243376464,2.50591085404886,10,"b,c",0.724518194040393,0.555547492208838,11,"a,d",1.17614372312745,1.25930892822839,12,"b,d",2.76414344099226,3.07616768872718,13,"a,e",1.66765944479185,2.63042942207678,14,"b,e",2.10504649561965,2.90593024416395,15,"a,f",1.62416671210023,1.1899879432817,16,"b,f",1.38361513941301,1.80779819651994,17,"c,e",1.82939296275215,2.55749516598711,18,"d,e",1.94331297765936,2.98628819066837,19,"c,f",1.01080766505288,0.849849356282435,20,"d,f",1.99697418646035,1.86390540981854,21,"a",1.64591307844604,2.00839838844225,22,"b",1.74433081751633,2.4086683455404,23,"c",1.42010031390252,1.92023215081046,24,"d",1.97014358205986,2.44885716742415,25,"e",1.88635297020575,2.73557390561164,26,"f",1.50389092575662,1.5104582175984,0.9,0.9
3,0,0,32,1,"W",1,"a c e",0.494538063229177,1,2.54945950454858,2.46123029703914,2,"b c e",0.195084015316528,1,2.17049219058639,3.79749547317136,3,"a d e",-1.65409247877439,1,0.386498097713837,0.810615631880904,4,"b d e",-0.236885455223892,1,1.19473064209127,1.86238950898432,5,"a c f",0.524920621240604,1,3.83091928725702,4.58888254811289,6,"b c f",-1.67187949267694,1,0.281328633027142,0.258172782001896,7,"a d f",0.562764959490882,1,2.7083580916239,2.49577275245236,8,"b d f",0.97909467561634,1,6.18425769376996,7.13198005407227,9,"a,c",3.1901893959028,3.70939316663294,10,"b,c",1.22591041180677,2.83464787386031,11,"a,d",1.54742809466887,2.18116723037268,12,"b,d",3.68949416793061,5.74962903235571,13,"a,e",1.46797880113121,2.11949287648409,14,"b,e",1.68261141633883,3.00741737197247,15,"a,f",3.26963868944046,3.70767278878326,16,"b,f",3.23279316339855,5.82332299850145,17,"c,e",2.35997584756748,3.1801349660868,18,"d,e",0.790614369902551,1.48187569629081,19,"c,f",2.05612396014208,3.68707068310532,20,"d,f",4.44630789269693,5.58232002679463,21,"a",2.36880874528583,3.14095855738045,22,"b",2.45770228986869,4.68126100179085,23,"c",2.20804990385478,3.43275398998646,24,"d",2.61846113129974,4.46263661805849,25,"e",1.57529510873502,2.59359164091093,26,"f",3.25121592641951,4.86227072041556,0.1,0.1
4,0,0,8,1,"W",1,"a c e",0.0352033140279678,1,0.711675430977973,0.538635606379439,2,"b c e",0.590652097097844,1,4.17765840921543,6.03764577029909,3,"a d e",-0.514372937044168,1,0.566169044622039,0.383086373083761,4,"b d e",0.120043236301878,1,1.42703057371193,2.46597697480485,5,"a c f",1.17774040956011,1,4.9597431791798,4.1232313144998,6,"b c f",0.831135632867723,1,3.6732630324408,3.48294836794024,7,"a d f",0.239219239925841,1,5.91440943112564,7.20518828285909,8,"b d f",2.3653714611947,1,20.1298690133312,23.5074242316073,9,"a,c",2.83570930507889,3.58908040124088,10,"b,c",3.92546072082812,4.76869184895175,11,"a,d",3.24028923787384,5.65004515882932,12,"b,d",10.7784497935216,18.8147901359705,13,"a,e",0.638922237800006,0.457738850859815,14,"b,e",2.80234449146368,4.67620413136505,15,"a,f",5.43707630515272,5.69242756218393,16,"b,f",11.901566022886,18.323735035941,17,"c,e",2.4446669200967,4.51113596462664,18,"d,e",0.996599809166984,1.76179668814989,19,"c,f",4.3165031058103,3.74649956909184,20,"d,f",13.0221392222284,18.330145098365,21,"a",3.03799927147636,4.66066970726551,22,"b",7.35195525717485,13.943155241802,23,"c",3.3805850129535,4.18842208466068,24,"d",7.0093695156977,14.1915251730573,25,"e",1.72063336463184,3.44818472948336,26,"f",8.66932116401936,13.7451011528409,0.5,0.5
5,0,0,24,1,"W",1,"a c e",-0.496516258796534,1,0.735512129043445,1.08912387778232,2,"b c e",-0.623205988198789,1,0.760869693959421,0.93687944563836,3,"a d e",-0.971171026293143,1,0.50328769130446,0.766703480452655,4,"b d e",-0.164259811091996,1,1.50229375846667,2.07953743758185,5,"a c f",-0.00276715875804423,1,1.52741054131432,1.88235816066858,6,"b c f",1.44723128111304,1,4.41844036936066,5.00138711132952,7,"a d f",0.624593105059321,1,2.01333664455582,2.29023888805846,8,"b d f",-0.289295263066888,1,1.13980092251765,1.14318079686817,9,"a,c",1.13146133517888,1.57306373832183,10,"b,c",2.58965503166004,4.0107330735628,11,"a,d",1.25831216793014,1.85382082206313,12,"b,d",1.32104734049216,1.67012289847136,13,"a,e",0.619399910173952,0.939100003511238,14,"b,e",1.13158172621304,1.63893812191128,15,"a,f",1.77037359293507,2.08830694710407,16,"b,f",2.77912064593916,3.95283532233339,17,"c,e",0.748190911501433,1.00507431883495,18,"d,e",1.00279072488556,1.63055460891872,19,"c,f",2.97292545533749,4.01357002195993,20,"d,f",1.57656878353674,1.84422084892872,21,"a",1.19488675155451,1.7112989894474,22,"b",1.9553511860761,3.12167872296892,23,"c",1.86055818341946,3.11765065094666,24,"d",1.28967975421115,1.75533675657004,25,"e",0.875490818193498,1.35333192472133,26,"f",2.27474711943712,3.18509777652896,0.9,0.9
6,0,0,16,1,"W",1,"a c e",0.306702155131944,1,1.88751050539536,1.81822350715478,2,"b c e",-0.964150440790323,1,0.571120277181351,0.690137864920835,3,"a d e",-0.535585001654009,1,0.627563819021531,0.533255182792822,4,"b d e",2.0132440544751,1,11.5642590181029,8.37445853086303,5,"a c f",-0.356248470841192,1,1.35175456736708,1.22241809152272,6,"b c f",-1.48903150324856,1,0.339702733584662,0.307320941821625,7,"a d f",-0.191009188642488,1,1.64966871557232,1.62446489481309,8,"b d f",-1.22626733209576,1,0.363986617683948,0.3372978429457,9,"a,c",1.61963253638122,1.54815098963398,10,"b,c",0.455411505383006,0.538500880403895,11,"a,d",1.13861626729693,1.29771880028811,12,"b,d",5.96412281789342,8.14634035694853,13,"a,e",1.25753716220845,1.46523357599835,14,"b,e",6.06768964764212,8.08405536282006,15,"a,f",1.5007116414697,1.42226427257157,16,"b,f",0.351844675634305,0.317650528110988,17,"c,e",1.22931539128836,1.50907438819206,18,"d,e",6.09591141856221,8.05851416434951,19,"c,f",0.845728650475869,1.01640215546358,20,"d,f",1.00682766662814,1.32608650638228,21,"a",1.37912440183907,1.43763606190627,22,"b",3.20976716163821,6.36430095899023,23,"c",1.03752202088211,1.29084668274453,24,"d",3.55136954259517,6.27671839455906,25,"e",3.66261340492528,6.25219421510349,26,"f",0.926278158552002,1.1748298625443,0.1,0.1
7,0,0,16,1,"W",1,"a c e",0.205887414739381,1,1.58441079703447,1.48714643633662,2,"b c e",0.0511100407761949,1,2.10457212985183,2.71443718992434,3,"a d e",1.97383217132695,1,15.1885568105697,12.2821845817877,4,"b d e",-0.0783746929922115,1,1.44793353618155,2.09670806364022,5,"a c f",-0.665944574139533,1,0.577314900582897,0.475465192824663,6,"b c f",0.980558032196172,1,5.40312868842463,4.12890623871529,7,"a d f",-1.17341178395279,1,1.19748330739593,3.51455900122157,8,"b d f",-0.00502463156201055,1,2.5568367691563,3.24308677352716,9,"a,c",1.08086284880868,1.20052424365418,10,"b,c",3.75385040913823,3.82388226448961,11,"a,d",8.19302005898283,11.3791884855534,12,"b,d",2.00238515266892,2.74475616704352,13,"a,e",8.3864838038021,11.0373811313862,14,"b,e",1.77625283301669,2.40908698656708,15,"a,f",0.887399103989413,2.48706169853752,16,"b,f",3.97998272879046,3.9279527613137,17,"c,e",1.84449146344315,2.16914692027997,18,"d,e",8.31824517337565,11.12851824155,19,"c,f",2.99022179450376,3.79055208288396,20,"d,f",1.87716003827611,3.39747907766073,21,"a",4.63694145389576,8.79038737561791,22,"b",2.87811778090358,3.41776570100566,23,"c",2.41735662897346,3.11749073639105,24,"d",5.09770260582588,8.78381583195098,25,"e",5.0813683184094,8.59639497031117,26,"f",2.43369091638994,3.61449491088878,0.5,0.5
8,0,0,40,1,"W",1,"a c e",1.30986685769546,1,11.4671901942816,27.3383829559494,2,"b c e",0.0324401797267078,1,2.74017745270494,4.02882812715558,3,"a d e",-0.479960460259892,1,1.37350451084691,1.8111920720599,4,"b d e",0.349997659989374,1,3.44623432539778,8.77383248038952,5,"a c f",1.39717695181831,1,12.7225157395512,26.9533270694977,6,"b c f",-2.06510244184054,1,0.296548120345288,0.451044158355351,7,"a d f",-0.664695544219638,1,1.61764637673349,3.60620736327213,8,"b d f",2.18022347086139,1,20.6095341853383,34.5343340548571,9,"a,c",12.0948529669164,26.9815710036532,10,"b,c",1.51836278652511,3.10244384236301,11,"a,d",1.4955754437902,2.8380615766087,12,"b,d",12.027884255368,26.4828560443258,13,"a,e",6.42034735256426,19.9091881939645,14,"b,e",3.09320588905136,6.79279442559332,15,"a,f",7.17008105814232,19.9068523175199,16,"b,f",10.4530411528418,26.3310163081769,17,"c,e",7.10368382349327,19.9062174429774,18,"d,e",2.40986941812235,6.38043463977217,19,"c,f",6.50953192994822,19.9457553564621,20,"d,f",11.1135902810359,26.2010748395114,21,"a",6.79521420535329,19.848880167417,22,"b",6.77312352094657,19.5200881214604,23,"c",6.80660787672075,19.8654723976384,24,"d",6.76172984957911,19.5031823754579,25,"e",4.75677662080781,14.9215355394937,26,"f",8.81156110549205,23.3256846868256,0.9,0.9
9,0,0,32,1,"W",1,"a c e",-0.783683800476009,1,0.835157933058219,1.21230769442389,2,"b c e",-1.07777881734726,1,0.61509464746299,0.606661558485282,3,"a d e",-0.976261315224629,1,0.529604306078213,0.534399871027038,4,"b d e",-0.406869208232643,1,0.953959890144153,1.06390324892595,5,"a c f",-2.33869154913763,1,0.114284002571518,0.111795340317432,6,"b c f",0.29240321879453,1,1.86630426903527,1.65266323471465,7,"a d f",-1.16942735478994,1,0.692006214145003,2.09250684526932,8,"b d f",0.414041093799157,1,2.68759400679335,2.61206270510661,9,"a,c",0.474720967814868,0.928066603083752,10,"b,c",1.24069945824913,1.38660120441521,11,"a,d",0.610805260111608,1.51715691597821,12,"b,d",1.82077694846875,2.16276354907314,13,"a,e",0.682381119568216,0.942028177677137,14,"b,e",0.784527268803571,0.875912711289854,15,"a,f",0.40314510835826,1.49848486030777,16,"b,f",2.27694913791431,2.20738823247921,17,"c,e",0.725126290260604,0.95738084809024,18,"d,e",0.741782098111183,0.862102600325497,19,"c,f",0.990294135803394,1.45934761003651,20,"d,f",1.68980011046918,2.55406020012958,21,"a",0.542763113963238,1.25449173362922,22,"b",1.53073820335894,1.83273138100321,23,"c",0.857710213031999,1.2364709760631,24,"d",1.21579110429018,1.95731138514019,25,"e",0.733454194185894,0.907433054999977,26,"f",1.34004712313628,2.10135271299773,0.1,0.1
10,0,0,40,1,"W",1,"a c e",-0.0015820735540671,1,1.60402920750342,1.83437385328233,2,"b c e",1.32437563991969,1,4.25539585895638,4.12593741350487,3,"a d e",1.64513473283838,1,6.51883458446562,7.7244061481812,4,"b d e",-0.921766674286258,1,0.791732507245083,0.982614369582851,5,"a c f",-2.04371392582401,1,0.214915207421476,0.204808723665423,6,"b c f",0.510552468875189,1,3.65785993701911,4.84275357762066,7,"a d f",0.985087075421454,1,4.79168423827138,5.81621294040472,8,"b d f",-1.50536629220889,1,0.380002836785176,0.477335176924435,9,"a,c",0.909472207462448,1.47322449213287,10,"b,c",3.95662789798774,4.48018172093452,11,"a,d",5.6552594113685,6.84914991996339,12,"b,d",0.58586767201513,0.795018042768807,13,"a,e",4.06143189598452,6.10180505677435,14,"b,e",2.52356418310073,3.4522163259276,15,"a,f",2.50329972284643,4.69294811515356,16,"b,f",2.01893138690214,3.79608605178818,17,"c,e",2.9297125332299,3.44162548875974,18,"d,e",3.65528354585535,6.18352367322718,19,"c,f",1.93638757222029,3.82091431908335,20,"d,f",2.58584353752828,4.66260337380982,21,"a",3.28236580941547,5.48199924784616,22,"b",2.27124778500144,3.62564542367211,23,"c",2.4330500527251,3.65884590696936,24,"d",3.12056354169182,5.48516527738897,25,"e",3.29249803954263,5.00153276036745,26,"f",2.26111555487429,4.26162707138837,0.5,0.5
