"Data_Set","ART_Con_Warning","Omnibus_ART_Warning","Num_Responses_per_Condition","Random_Seed","BW","Num1","Str1","Ms1","SDs1","M1","SD1","Num2","Str2","Ms2","SDs2","M2","SD2","Num3","Str3","Ms3","SDs3","M3","SD3","Num4","Str4","Ms4","SDs4","M4","SD4","Num5","Str5","M5","SD5","Num6","Str6","M6","SD6","Num7","Str7","M7","SD7","Num8","Str8","M8","SD8"
1,0,0,8,1,"B",1,"a c",0,1,0.0150428870795524,1.2211685186899,2,"b c",0,1,-0.9037179280941,1.51651862837713,3,"a d",0,1,0.283986607823201,1.79164181148067,4,"b d",0,1,-0.000496850313531565,0.91682615713545,5,"a",0.149514747451377,1.48768171823377,6,"b",-0.452107389203816,1.29733125889899,7,"c",-0.444337520507274,1.41218636283774,8,"d",0.141744878754835,1.38269248046913
2,0,0,24,1,"B",1,"a c",0,1,0.17470171682909,1.11280248314016,2,"b c",0,1,0.19984053073724,1.05274026491071,3,"a d",0,1,-0.276548153200033,1.33441160864258,4,"b d",0,1,-0.528858874926879,1.26062956320281,5,"a",-0.0509232181854712,1.23667487102158,6,"b",-0.16450917209482,1.20648390126409,7,"c",0.187271123783165,1.0716778101497,8,"d",-0.402703514063456,1.29047473412334
3,0,0,8,1,"B",1,"a c",0,1,-0.253726681857054,1.25344544786529,2,"b c",0,1,0.830714979497858,0.881992506352002,3,"a d",0,1,-0.0315702037992261,0.971330149147482,4,"b d",0,1,0.968318766855862,1.70249502271078,5,"a",-0.14264844282814,1.08933215775819,6,"b",0.89951687317686,1.31175556143903,7,"c",0.288494148820402,1.18735865886642,8,"d",0.468374281528318,1.43510540243648
4,0,0,8,1,"B",1,"a c",0,1,0.535605737016493,1.33698101150314,2,"b c",0,1,-1.13642175340792,2.3893611512785,3,"a d",0,1,-0.295249685904351,2.76157743257736,4,"b d",0,1,0.175327081895519,0.787569549001188,5,"a",0.120178025556071,2.13944042409647,6,"b",-0.480547335756201,1.84730303538157,7,"c",-0.300408008195714,2.06007537514936,8,"d",-0.0599613020044161,1.97672793528453
5,0,0,40,1,"B",1,"a c",0,1,0.124371824406021,1.42113882328533,2,"b c",0,1,0.101494991853003,1.46692143633652,3,"a d",0,1,0.0715265531066655,1.21452609949345,4,"b d",0,1,-0.339130452756891,1.84920416705487,5,"a",0.0979491887563434,1.31375156750467,6,"b",-0.118817730451944,1.67319970574983,7,"c",0.112933408129512,1.43508803219245,8,"d",-0.133801949825113,1.56812934489622
6,0,0,24,1,"B",1,"a c",0,1,-0.0813689042678155,1.07229630308544,2,"b c",0,1,0.164593806150434,0.980080920449234,3,"a d",0,1,0.712752429715179,1.5352520381305,4,"b d",0,1,-0.200790570276513,1.13404232057155,5,"a",0.315691762723682,1.37007813496334,6,"b",-0.0180983820630394,1.06465569907964,7,"c",0.0416124509413094,1.02380875479438,8,"d",0.255980929719333,1.41274516440565
7,0,0,24,1,"B",1,"a c",0,1,0.181880183202286,1.40615672549594,2,"b c",0,1,0.165363184432868,2.09677580220586,3,"a d",0,1,-0.0597908953211097,1.58205986166071,4,"b d",0,1,-0.215432396674659,1.52062366609004,5,"a",0.0610446439405884,1.48571375640507,6,"b",-0.0250346061208952,1.82209641103869,7,"c",0.173621683817577,1.76610775475801,8,"d",-0.137611645997884,1.53706348473935
8,0,0,32,1,"B",1,"a c",0,1,-0.0157800927303372,1.09181588112944,2,"b c",0,1,-0.353678773966373,1.6791397193165,3,"a d",0,1,-0.210314970850216,1.50142420713327,4,"b d",0,1,0.0371921889184762,1.0434550405445,5,"a",-0.113047531790277,1.3059201871046,6,"b",-0.158243292523949,1.40069171648329,7,"c",-0.184729433348355,1.41525444385679,8,"d",-0.08656139096587,1.28862805056137
9,0,0,40,1,"B",1,"a c",0,1,-0.0134350613977744,1.25229961567943,2,"b c",0,1,0.00112349195608043,1.64251379153688,3,"a d",0,1,0.683198900266738,1.55059268443448,4,"b d",0,1,0.104375809840154,1.27285132817297,5,"a",0.334881919434482,1.44361126621961,6,"b",0.0527496508981175,1.46094863027881,7,"c",-0.00615578472084697,1.45124289140959,8,"d",0.393787355053446,1.43930258379459
10,0,0,8,1,"B",1,"a c",0,1,-0.891005582671462,1.95116805082825,2,"b c",0,1,-0.00827163207334702,1.41192488999934,3,"a d",0,1,0.83027668844235,1.51288999935096,4,"b d",0,1,0.0298834747356495,1.49319334720223,5,"a",-0.0303644471145562,1.90652390519791,6,"b",0.0108059213311512,1.40399266661434,7,"c",-0.449638607372405,1.70725896323438,8,"d",0.430080081589,1.50978485977411
11,0,0,40,1,"B",1,"a c",0,1,0.225956382789241,1.71836129321753,2,"b c",0,1,0.212148530924609,1.00486848784666,3,"a d",0,1,0.18788451415654,1.07482888907086,4,"b d",0,1,0.0031302180599852,1.39172925070442,5,"a",0.206920448472891,1.42421141254031,6,"b",0.107639374492297,1.2106800135548,7,"c",0.219052456856925,1.39865367180839,8,"d",0.0955073661082624,1.23901355961756
12,0,0,24,1,"B",1,"a c",0,1,-0.149806869707417,1.33961575452271,2,"b c",0,1,0.0706906164670178,1.15319248944556,3,"a d",0,1,0.0736625062122817,0.974165466975246,4,"b d",0,1,0.0183395693458424,1.35450874490716,5,"a",-0.0380721817475677,1.16419402729935,6,"b",0.0445150929064301,1.24471192355193,7,"c",-0.0395581266201996,1.24152587404963,8,"d",0.0460010377790621,1.16748183603251
13,0,0,8,1,"B",1,"a c",0,1,-0.467029595357364,1.32259218773595,2,"b c",0,1,-0.826362898193419,2.12150815354844,3,"a d",0,1,0.196944338263469,1.06522706547428,4,"b d",0,1,0.770650961786064,1.61078161941807,5,"a",-0.135042628546948,1.20971503836414,6,"b",-0.0278559682036771,1.99782736947014,7,"c",-0.646696246775391,1.71788261676086,8,"d",0.483797650024767,1.35208086653654
14,0,0,24,1,"B",1,"a c",0,1,-0.0110753481950215,1.70264381438989,2,"b c",0,1,0.0349309969493252,1.06471641784086,3,"a d",0,1,0.155359001847215,1.76213110069338,4,"b d",0,1,0.449426384116897,1.44105060153109,5,"a",0.0721418268260968,1.71617306901909,6,"b",0.242178690533111,1.2707627003098,7,"c",0.0119278243771519,1.4049728566684,8,"d",0.302392692982056,1.59931875859207
15,0,0,16,1,"B",1,"a c",0,1,-0.325452060510122,1.31745602694767,2,"b c",0,1,0.345842053497443,0.956297281792655,3,"a d",0,1,0.508620137147937,1.98336085042523,4,"b d",0,1,-0.184237824543015,0.932163061291948,5,"a",0.0915840383189074,1.70961768161823,6,"b",0.0808021144772141,0.967193551981712,7,"c",0.0101949964936605,1.18264342254532,8,"d",0.162191156302461,1.56452755703293
16,0,0,16,1,"B",1,"a c",0,1,-0.271446708167993,1.27627583891109,2,"b c",0,1,-0.12196859170814,1.75243372831953,3,"a d",0,1,0.309455980636926,1.07922616703848,4,"b d",0,1,-0.0585795311352844,0.972890005903137,5,"a",0.0190046362344665,1.1995122734654,6,"b",-0.0902740614217121,1.39463522135631,7,"c",-0.196707649938066,1.509938147585,8,"d",0.125438224750821,1.02787382104227
17,0,0,8,1,"B",1,"a c",0,1,0.0905536720975988,0.869722182816234,2,"b c",0,1,-1.11692510799638,1.44058754384464,3,"a d",0,1,0.0330295140211384,0.648470639687967,4,"b d",0,1,-0.842491108472661,1.63557399762177,5,"a",0.0617915930593686,0.741698592681659,6,"b",-0.979708108234519,1.49563853682668,7,"c",-0.513185717949389,1.30777123496045,8,"d",-0.404730797225761,1.28414590934427
