,Population_Distribution,Layout,BW,Condition_Sample_Size,Contrast_Size,ART_Con_Num_Sig,Param_Num_Sig,Nonparam_Num_Sig,ART_Omni_Num_Sig,ART_Con_Proportion_Sig,Param_Proportion_Sig,Nonparam_Proportion_Sig,ART_Omni_Proportion_Sig,Num_Trials
1,0,2x2,between,8,1,16,15,12,16,0.037735849,0.035377358,0.028301887,0.037735849,424
2,0,2x2,between,8,2,49,48,51,16,0.038522013,0.037735849,0.04009434,0.012578616,1272
3,0,2x2,between,16,1,23,20,21,23,0.05721393,0.049751244,0.052238806,0.05721393,402
4,0,2x2,between,16,2,55,53,52,0,0.045605307,0.043946932,0.043117745,0,1206
5,0,2x2,between,32,1,15,13,16,15,0.038071066,0.032994924,0.040609137,0.038071066,394
6,0,2x2,between,32,2,47,41,48,8,0.039763113,0.034686971,0.040609137,0.00676819,1182
7,0,2x2,between,24,1,7,11,7,7,0.019553073,0.030726257,0.019553073,0.019553073,358
8,0,2x2,between,24,2,49,41,44,4,0.045623836,0.038175047,0.040968343,0.003724395,1074
9,0,2x2,between,40,1,23,22,20,23,0.05450237,0.052132701,0.047393365,0.05450237,422
10,0,2x2,between,40,2,60,63,58,5,0.047393365,0.049763033,0.045813586,0.003949447,1266
11,0,2x2,within,24,1,19,19,22,19,0.047738693,0.047738693,0.055276382,0.047738693,398
12,0,2x2,within,24,2,55,53,56,9,0.046063652,0.04438861,0.046901173,0.007537688,1194
13,0,2x2,within,16,1,12,11,13,12,0.03,0.0275,0.0325,0.03,400
14,0,2x2,within,16,2,52,48,40,2,0.043333333,0.04,0.033333333,0.001666667,1200
15,0,2x2,within,40,1,19,16,13,19,0.047263682,0.039800995,0.032338308,0.047263682,402
16,0,2x2,within,40,2,39,38,42,4,0.032338308,0.031509121,0.034825871,0.00331675,1206
17,0,2x2,within,32,1,20,21,22,20,0.051546392,0.054123711,0.056701031,0.051546392,388
18,0,2x2,within,32,2,63,57,55,0,0.054123711,0.048969072,0.047250859,0,1164
19,0,2x2,within,8,1,27,31,17,27,0.068181818,0.078282828,0.042929293,0.068181818,396
20,0,2x2,within,8,2,70,73,46,14,0.058922559,0.061447811,0.038720539,0.011784512,1188
21,0,2x2x2,between,40,1,24,26,23,24,0.040816327,0.044217687,0.039115646,0.040816327,588
22,0,2x2x2,between,40,2,186,185,180,21,0.052721088,0.052437642,0.051020408,0.005952381,3528
23,0,2x2x2,between,40,3,282,246,276,0,0.05138484,0.044825073,0.050291545,0,5488
24,0,2x2x2,between,16,1,37,32,35,37,0.064236111,0.055555556,0.060763889,0.064236111,576
25,0,2x2x2,between,16,2,190,193,188,22,0.054976852,0.055844907,0.054398148,0.006365741,3456
26,0,2x2x2,between,16,3,282,275,260,0,0.052455357,0.051153274,0.048363095,0,5376
27,0,2x2x2,between,32,1,29,32,29,29,0.044342508,0.048929664,0.044342508,0.044342508,654
28,0,2x2x2,between,32,2,186,172,181,9,0.047400612,0.043832824,0.046126402,0.002293578,3924
29,0,2x2x2,between,32,3,259,264,257,0,0.042431193,0.043250328,0.042103539,0,6104
30,0,2x2x2,between,24,1,33,33,35,33,0.052631579,0.052631579,0.055821372,0.052631579,627
31,0,2x2x2,between,24,2,203,194,196,18,0.053960659,0.051568315,0.052099947,0.004784689,3762
32,0,2x2x2,between,24,3,330,330,329,0,0.056390977,0.056390977,0.056220096,0,5852
33,0,2x2x2,between,8,1,24,22,24,24,0.043243243,0.03963964,0.043243243,0.043243243,555
